2026-02-26 00:58:50,906 | INFO | Creating SQL Server engine...
2026-02-26 00:58:50,942 | INFO | Connecting to Snowflake...
2026-02-26 00:58:50,944 | INFO | Snowflake Connector for Python Version: 4.3.0, Python Version: 3.11.4, Platform: Windows-10-10.0.26200-SP0
2026-02-26 00:58:50,944 | INFO | Connecting to GLOBAL Snowflake domain
2026-02-26 00:58:54,165 | INFO | Truncating Snowflake target table...
2026-02-26 00:58:54,514 | INFO | Starting high-performance chunk-based load...
2026-02-26 00:59:06,163 | INFO | Processing new chunk...
2026-02-26 00:59:23,685 | INFO | Loaded chunk of 500000 rows
2026-02-26 00:59:31,374 | INFO | Processing new chunk...
2026-02-26 00:59:48,139 | INFO | Loaded chunk of 500000 rows
2026-02-26 00:59:55,009 | INFO | Processing new chunk...
2026-02-26 01:00:12,772 | INFO | Loaded chunk of 500000 rows
2026-02-26 01:00:19,446 | INFO | Processing new chunk...
2026-02-26 01:00:36,463 | INFO | Loaded chunk of 500000 rows
2026-02-26 01:00:41,850 | INFO | Processing new chunk...
2026-02-26 01:00:58,772 | INFO | Loaded chunk of 500000 rows
2026-02-26 01:01:05,303 | INFO | Processing new chunk...
2026-02-26 01:01:22,406 | INFO | Loaded chunk of 500000 rows
2026-02-26 01:01:29,317 | INFO | Processing new chunk...
2026-02-26 01:01:47,113 | INFO | Loaded chunk of 500000 rows
2026-02-26 01:01:53,939 | INFO | Processing new chunk...
2026-02-26 01:02:12,850 | INFO | Loaded chunk of 500000 rows
2026-02-26 01:02:19,319 | INFO | Processing new chunk...
2026-02-26 01:02:39,461 | INFO | Loaded chunk of 500000 rows
2026-02-26 01:02:46,201 | INFO | Processing new chunk...
2026-02-26 01:03:03,258 | INFO | Loaded chunk of 500000 rows
2026-02-26 01:03:09,126 | INFO | Processing new chunk...
2026-02-26 01:03:30,905 | INFO | Loaded chunk of 500000 rows
2026-02-26 01:03:37,131 | INFO | Processing new chunk...
2026-02-26 01:03:54,789 | INFO | Loaded chunk of 500000 rows
2026-02-26 01:04:01,519 | INFO | Processing new chunk...
2026-02-26 01:04:18,398 | INFO | Loaded chunk of 500000 rows
2026-02-26 01:04:25,130 | INFO | Processing new chunk...
2026-02-26 01:04:41,881 | INFO | Loaded chunk of 500000 rows
2026-02-26 01:04:48,577 | INFO | Processing new chunk...
2026-02-26 01:05:11,647 | INFO | Loaded chunk of 500000 rows
2026-02-26 01:05:20,567 | INFO | Processing new chunk...
2026-02-26 01:05:56,710 | INFO | Loaded chunk of 500000 rows
2026-02-26 01:06:14,142 | INFO | Processing new chunk...
2026-02-26 01:06:41,137 | INFO | Loaded chunk of 500000 rows
2026-02-26 01:06:48,224 | INFO | Processing new chunk...
2026-02-26 01:07:09,908 | INFO | Loaded chunk of 500000 rows
2026-02-26 01:07:17,266 | INFO | Processing new chunk...
2026-02-26 01:07:46,147 | INFO | Loaded chunk of 500000 rows
2026-02-26 01:07:53,752 | INFO | Processing new chunk...
2026-02-26 01:08:15,616 | INFO | Loaded chunk of 500000 rows
